กรุงเทพมหานคร,25,นาง,รัตนพร,โอภาสพิมลธรรม,14,รักษ์ผืนป่าประเทศไทย
กรุงเทพมหานคร,25,นาย,ธิติกรณ์,ชาวบ้านเกาะ,15,ภราดรภาพ
กรุงเทพมหานคร,25,นางสาว,วริศรา,เกษมศรี,16,ประชาชาติ
กรุงเทพมหานคร,25,นาย,นิธิโชติ,มานะธัญญา,17,ประชานิยม
กรุงเทพมหานคร,25,นางสาว,จันทร์จิรา,เกษมศรีนิวัฒนา,18,กลาง
กรุงเทพมหานคร,26,นาย,วรพล,เตรียมเวชวุฒิไกร,17,รักษ์ผืนป่าประเทศไทย
กรุงเทพมหานคร,26,นางสาว,ชวิกา,ไตรศิวะกลุ,18,ประชาชาติ
กรุงเทพมหานคร,26,นาง,ดนิตา,วงค์รัตน์,19,กลาง
กรุงเทพมหานคร,27,นาย,ปรชี า,ลูกบัว,17,รักษ์ผืนป่าประเทศไทย
กรุงเทพมหานคร,28,นาง,อมรรัตน์,อัครอมรพงศ์,15,ภราดรภาพ
กรุงเทพมหานคร,28,นางสาว,ลลี าวดี,น้ําหยด,16,รักษ์ผืนป่าประเทศไทย
กรุงเทพมหานคร,28,นางสาว,กรกช,เติมรุ่งเรืองเลิศ,17,ประชานิยม
กรุงเทพมหานคร,29,นาย,นิธิศ,อังศุกุลธร,16,ภราดรภาพ
กรุงเทพมหานคร,29,นาย,ฐิตินันท์,ศิรวิ สุธา,17,รักษ์ผืนป่าประเทศไทย
กรุงเทพมหานคร,29,นางสาว,อภัสนันท์,ชูเชิด,18,กลาง
กรุงเทพมหานคร,30,นาย,พิเชษฐ์,ไทยนิยม,17,ภราดรภาพ
กรุงเทพมหานคร,30,นางสาว,สริิวรรณ,โชติพนั ธ์ุ,18,พลังชาติไทย
กรุงเทพมหานคร,30,นาย,ทศพร,สายสุด,19,พลังไทยรักชาติ
กาญจนบุรี,1,นาย,วรรษภณ,แสงเป่า,16,อนาคตใหม่
กาญจนบุรี,1,นาย,สิทธิชัย,มนตรีวิบูลย์ชัย,17,เพื่อนไทย
กาญจนบุรี,1,นาย,ยอดชาย,บุญจีน,18,เศรษฐกิจใหม่
กาญจนบุรี,2,นาย,ไพศาล,แก้วสะอาด,15,เศรษฐกิจใหม่
กาญจนบุรี,3,นาย,ปัญญา,ภู่คง,17,พลังไทยรักชาติ
กาญจนบุรี,3,นาย,พงศ์จักรพรรดิ์,สกุลณกาญจน์,18,รักษ์ผืนป่าประเทศไทย
กาญจนบุรี,4,นาย,อมรเทพ,ใจหลัก,21,ประชาธรรมไทย
กาญจนบุรี,4,นาย,สมคิด,พึ่งมนัส,22,เศรษฐกิจใหม่
กาญจนบุรี,4,นาย,ฉันท์กิจ,ภาคภูมิ,23,พลังไทยรักชาติ
กาญจนบุรี,4,นาย,ธนวัฒน์,ทองคํา,24,ประชาชนปฏิรปู
กาญจนบุรี,5,นาย,วิชิต,โฉมแก่นแก้ว,18,เศรษฐกิจใหม่
กาญจนบุรี,5,นาย,พรชัย,ค้ําชู,19,เพื่อนไทย
กาญจนบุรี,5,ร.ต.,สมศักดิ์,ทรัพย์ไพบูลย์,20,พลังปวงชนไทย
กาฬสินธุ์,1,นางสาว,จตรุ พร,ไชยภา,16,ชาติไทยพัฒนา
กาฬสินธุ์,1,นาง,สายจิต,อุบลลา,17,เพื่อนไทย
กาฬสินธุ์,1,นางสาว,สมพร,โพนศรีสม,18,เพื่อแผ่นดิน
กาฬสินธุ์,1,นาย,ฉัตรชัย,ฉายมงคล,19,แทนคุณแผ่นดิน
กาฬสินธุ์,1,นางสาว,อรไท,สินธุศิริ,20,ประชาธรรมไทย
กาฬสินธุ์,2,นาย,วสุพล,นาใจดี,16,เพื่อนไทย
กาฬสินธุ์,2,นาย,รุ่งเรือง,ภูครองตา,17,เศรษฐกิจใหม่
กาฬสินธุ์,2,นาย,พชรพล,โพธิ์แท่น,18,พลังชาติไทย
กาฬสินธุ์,2,นาย,พิมลศักดิ์,ถนอมสัตย์,19,พลังปวงชนไทย
กาฬสินธุ์,2,นาย,สุดใจ,สาระบุตร,20,เพื่อแผ่นดิน
กาฬสินธุ์,2,นาง,บุณยะพร,พิรชัช,21,ไทรักธรรม
กาฬสินธุ์,3,นาย,ณภัทร,หันตุลา,18,เพื่อแผ่นดิน
กาฬสินธุ์,4,ร้อยตรี,สินธร,ไร่สงวน,20,พลังชาติไทย
กาฬสินธุ์,4,นาย,ไชยสิทธิ์,อุดรพิมพ์,21,เพื่อชาติ
กาฬสินธุ์,4,นาย,บุญถม,วงศรีเทพ,22,เศรษฐกิจใหม่
กาฬสินธุ์,4,นางสาว,จุรีพร,หันตุลา,23,เพื่อแผ่นดิน
กาฬสินธุ์,5,นาย,รัชพล,ยอดยศ,17,แทนคุณแผ่นดิน
กาฬสินธุ์,5,นาย,สมบัติ,ปรีพูล,18,สยามพัฒนา
กาฬสินธุ์,5,นาย,สําเนยี ง,เอกบุตร,19,ภราดรภาพ
กาฬสินธุ์,5,นาย,พูนศักดิ์,โสภาคะยัง,20,ไทยธรรม
กาฬสินธุ์,5,นางสาว,รจนา,หันตุลา,21,เพื่อแผ่นดิน
กําแพงเพชร,2,นาย,ณัฐปคัลภ์,อิทธินันต์,20,ประชาธิปไตยใหม่
กําแพงเพชร,3,นาย,ทรงพล,กลิ่นฟัก,20,ประชาธิปไตยใหม่
กําแพงเพชร,4,นาย,สถติ ย์,คํามา,19,เศรษฐกิจใหม่
ขอนแก่น,1,นาย,สมภพ,วงศ์ก่อ,24,เพื่อชาติ
ขอนแก่น,1,นาย,สนอง,เพชรสังหาร,25,พลังครูไทย
ขอนแก่น,2,นาย,เกียรติศักดิ์,ปัจจุโส,22,เพื่อไทยพัฒนา
ขอนแก่น,2,นาง,ประดับศิลป์,วะสมบัติ,23,พลังครูไทย
ขอนแก่น,3,นาย,ธนาเดช,สงวนความดี,24,เพื่อชาติ
ขอนแก่น,4,พันตํารวจเอก,สําเนียง,ลือเจียงคํา,25,พลเมืองไทย
ขอนแก่น,5,ผู้ช่วยศาสตราจารย์,พงศ์,พรมนิล,24,ประชาธรรมไทย
ขอนแก่น,5,นาง,สมหวัง,สรุ าวรรณ์,25,แผ่นดินธรรม
ขอนแก่น,6,นาย,ปรชั ญา,สงลา,20,พลเมืองไทย
ขอนแก่น,6,นาย,ธนวัฒน์,สิงคําป้อง,21,พลังไทยรักไทย
ขอนแก่น,6,นาย,สุระ,สุขแป,22,ประชาภิวัฒน์
ขอนแก่น,7,นาย,เจริญชัย,ศรีวิบูลย์,24,เพื่อชาติ
ขอนแก่น,8,นาย,ประจบ,ปราบ ณ ศักดิ์,22,เพื่อชาติ
ขอนแก่น,8,นาง,จริยาภรณ์,ละว้า,23,ภาคีเครือข่ายไทย
ขอนแก่น,8,นาง,มาลิน,หันตุลา,24,เพื่อแผ่นดิน
ขอนแก่น,8,นาง,เบญจมาศ,หนูมา,25,ประชาภิวัฒน์
ขอนแก่น,8,นาย,สมศรี,ทะกอง,26,แผ่นดินธรรม
ขอนแก่น,8,นาย,ชัยมงคล,ครองสมบัติ,27,พลังปวงชนไทย
ขอนแก่น,9,นาย,เฉลิม,แงวกุดเรือ,28,กลาง
ขอนแก่น,10,นาย,อาทิตย์,คําจุลลา,22,พลเมืองไทย
ขอนแก่น,10,นาย,สมศักดิ์,เนาว์แก้ว,23,ประชาชนปฏิรปู
ขอนแก่น,10,นาย,เดชคํารณ,สิงคลีบุตร,24,เพื่อชาติ
จันทบุรี,1,นาย,รุ่ง,มนต์ประสิทธิ์,14,ครูไทยเพื่อประชาชน
จันทบุรี,1,นาย,ธวัชชัย,อนามพงษ์,15,พลังประชารัฐ
จันทบุรี,1,พันตํารวจเอก,สมคิด,พละเดช,16,ประชาธิปไตยใหม่
จันทบุรี,1,นาย,มาโนช,ตรงชื่น,17,ไทยศรีวิไลย์
จันทบุรี,1,นาย,สุปัญญา,เถลิงพงษ์,18,ประชานิยม
จันทบุรี,1,นาย,เอกพิพัฒน์,ศรีประสงค์,19,เศรษฐกิจใหม่
จันทบุรี,2,นาย,ชูศักดิ์,ศรีสมบูรณ์,18,ครูไทยเพื่อประชาชน
จันทบุรี,2,นาย,ประพันธ์,ประจงจัด,19,ประชานิยม
จันทบุรี,2,นาย,จักราวุธ,สีหาพงษ์,20,เศรษฐกิจใหม่
