ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
1742,ขอนแก่น,8,15,นาย,สมพร,ศรีวงษ์,พลังท้องถิ่นไท
1743,ขอนแก่น,8,16,นาย,วีระ,ศรีล้อม,เศรษฐกิจใหม่
1744,ขอนแก่น,8,17,นาย,สุรชัย,หาญชิน,ประชาชาติ
1745,ขอนแก่น,8,18,นาย,คงฤทธิ์,อัศวพัฒนากูล,พลังประชารัฐ
1746,ขอนแก่น,8,19,นาย,สมพงษ์,รัตนัง,พลังไทยรักไทย
1747,ขอนแก่น,8,20,นาง,ณัธฐิกานต์,รูปพรม,เพื่อนไทย
1748,ขอนแก่น,8,21,นาย,อํานวย,จุ้มใหญ่,เพื่อไทยพัฒนา
1749,ขอนแก่น,8,22,นาย,ประจบ,ปราบ ณ ศักดิ์,เพื่อชาติ
1750,ขอนแก่น,8,23,นาง,จริยาภรณ์,ละว้า,ภาคีเครือข่ายไทย
1751,ขอนแก่น,8,24,นาง,มาลิน,หันตุลา,เพื่อแผ่นดิน
1752,ขอนแก่น,8,25,นาง,เบญจมาศ,หนูมา,ประชาภิวัฒน์
1753,ขอนแก่น,8,26,นาย,สมศรี,ทะกอง,แผ่นดินธรรม
1754,ขอนแก่น,8,27,นาย,ชัยมงคล,ครองสมบัติ,พลังปวงชนไทย
1755,ขอนแก่น,8,28,นางสาว,เหมือนจันทร์,พิทักษ์,ประชาชนปฏิรูป
1756,ขอนแก่น,8,29,นาย,เชิดชัย,ลุนบง,พลังชาติไทย
1757,ขอนแก่น,8,30,นางสาว,ปรางทิพย์,พานพล,ไทยศรีวิไลย์
1758,ขอนแก่น,8,31,นาย,พงษ์ทรัพย์,เหล็กกล้า,พลังรัก
1759,ขอนแก่น,8,32,นาย,เชื่อม,บัตรมาตย์,พลังไทสร้างชาติ
1760,ขอนแก่น,8,33,นาย,คมกริช,พุดดี,ครูไทยเพื่อประชาชน
1761,ขอนแก่น,8,34,นาง,น้อง,ต้นแปะ,กลาง
1762,ขอนแก่น,8,35,นาย,กําพล,นาหก,ประชาธิปไตยเพื่อประชาชน
1763,ขอนแก่น,8,36,นาย,สุรัตน์,รูปสูง,เครือข่ายชาวนาแห่งประเทศไทย
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1764,ขอนแก่น,8,37,นาย,เชี่ยวชาญ,ชามะรัตน์,พลังครูไทย
1765,ขอนแก่น,8,38,นาง,บุญสวน,พยอม,มหาชน
1766,ขอนแก่น,8,39,ร้อยตรี,สมพร,จันทิหล้า,แทนคุณแผ่นดิน
1767,ขอนแก่น,8,40,นาง,เสาวลักษณ์,มั่งเมือง,ฐานรากไทย
1768,ขอนแก่น,8,41,นาย,ปรมินทร์,พุทธโคตร,ไทรักธรรม
1769,ขอนแก่น,9,1,นาย,จารุวัฒน์,ศิริวัจนพร,ภูมิใจไทย
1770,ขอนแก่น,9,2,ร้อยตรี,ธัชชัย,ปลื้มชิงชัย,รักษ์ผืนป่าประเทศไทย
1771,ขอนแก่น,9,3,นาย,ปกาญจน์,นพศรี,ชาติไทยพัฒนา
1772,ขอนแก่น,9,4,นาย,สุวพนธ์,คําสังวาลย์,พลังท้องถิ่นไท
1773,ขอนแก่น,9,5,นาย,วงเดือน,จันดา,พลังธรรมใหม่
1774,ขอนแก่น,9,6,นาย,เกียรติศิริกุล,ทึนรส,ทางเลือกใหม่
1775,ขอนแก่น,9,7,นาย,สิริชัย,ศิริมงคล,ประชานิยม
1776,ขอนแก่น,9,8,นาย,สุรเดช,ไสยกิจ,สยามพัฒนา
1777,ขอนแก่น,9,9,นาย,วรเดช,เศรษฐภักดี,ชาติพัฒนา
1778,ขอนแก่น,9,10,นางสาว,ภัทราพร,รุ่งพรเทวี,เสรีรวมไทย
1779,ขอนแก่น,9,11,นาย,วันนิวัติ,สมบูรณ์,เพื่อไทย
1780,ขอนแก่น,9,12,นาย,ฌานพากิตติ์,สีหามาตย์,ประชาธรรมไทย
1781,ขอนแก่น,9,13,นาย,วิระศักดิ์,สายทอง,รวมพลังประชาชาติไทย
1782,ขอนแก่น,9,14,นาย,วาสนา,ไชยศึก,พลังประชารัฐ
1783,ขอนแก่น,9,15,นาง,วันเพ็ญ,ชินรินทร์,ประชาภิวัฒน์
1784,ขอนแก่น,9,16,นาย,พานุห์,ประทุมชัย,อนาคตใหม่
1785,ขอนแก่น,9,17,นาย,นิติพัชร์,พิงคารักษ์,ประชาธิปัตย์
1786,ขอนแก่น,9,18,นาย,โกฏิ,พรพา,เพื่อนไทย
1787,ขอนแก่น,9,19,นาง,บุณยนุช,ธัญยาเตชสุนทร,พลังไทยรักไทย
1788,ขอนแก่น,9,20,นาย,ทศทัศน์,ภัทรธนวงสิทธิ,ประชาธิปไตยใหม่
1789,ขอนแก่น,9,21,นาย,สุรศักดิ์,พรมมา,รวมใจไทย
1790,ขอนแก่น,9,22,นาย,อดิษ,สุวรรณผา,แผ่นดินธรรม
1791,ขอนแก่น,9,23,นาย,จตุรงค์,ด้วงทา,ประชาชนปฏิรูป
1792,ขอนแก่น,9,24,ร.ต.ท.,สงวน,คมขาว,พลังปวงชนไทย
1793,ขอนแก่น,9,25,นาย,กัมปนาท,พรมประทุม,เพื่อแผ่นดิน
1794,ขอนแก่น,9,26,นาย,อานนท์,ฐานะ,เพื่อไทยพัฒนา
1795,ขอนแก่น,9,27,นางสาว,จรรณฐพร,ประจันตะเสน,เศรษฐกิจใหม่
1796,ขอนแก่น,9,28,นาย,เฉลิม,แงวกุดเรือ,กลาง
1797,ขอนแก่น,9,29,นาย,ปาณัสม์,กาบบัวไข,ประชาชาติ
1798,ขอนแก่น,9,30,นาง,คอย,สุขเสริม,มหาชน
1799,ขอนแก่น,9,31,นางสาว,อังคณา,หลินศรีวิเศษกุล,พลเมืองไทย
1800,ขอนแก่น,9,32,ร้อยตรี,สุรัตน์,เชิดโกทา,พลังชาติไทย
1801,ขอนแก่น,9,33,นาย,สุนันท์,สุดแสง,ครูไทยเพื่อประชาชน
1802,ขอนแก่น,9,34,นาย,ชัชชัย,ด้วงพทิักษ์,ไทยศรีวิไลย์
1803,ขอนแก่น,9,35,นาย,วีรวิทย์,จุลคําภา,เพื่อชาติ
1804,ขอนแก่น,9,36,นาย,อัฐพงศ์,วิกรัยปภาวสุ,พลังไทสร้างชาติ
1805,ขอนแก่น,9,37,นาย,เกษมทรัพย์,ดงหงษ์,ไทยรักษาชาติ
1806,ขอนแก่น,9,38,นาย,ประเชิญ,โนนพะยอม,ประชาธิปไตยเพื่อประชาชน
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1807,ขอนแก่น,9,39,นาย,ปิยวัจน์,จุลลาย,พลังศรัทธา
1808,ขอนแก่น,9,40,นางสาว,บังอร,มณฑาทิพย์,ภาคีเครือข่ายไทย
1809,ขอนแก่น,9,41,นาย,วงษ์,น่าชม,ผึ้งหลวง
1810,ขอนแก่น,9,42,นาย,สําเริง,วัลลา,แทนคุณแผ่นดิน
1811,ขอนแก่น,9,43,นาย,เจษฎา,ชัยเดชโกศิลป์,ไทรักธรรม
1812,ขอนแก่น,9,44,นาย,พีระ,ลานอก,ฐานรากไทย
1813,ขอนแก่น,10,1,นาย,อาทิตย์,กรุงพลี,เพื่อนไทย
1814,ขอนแก่น,10,2,นาย,เจริญ,แซ่เต็ง,พลังประชารัฐ
1815,ขอนแก่น,10,3,นาย,บัลลังก์,อรรณนพพร,เพื่อไทย
1816,ขอนแก่น,10,4,นาย,พูนทรัพย์,บุญทอง,เศรษฐกิจใหม่
1817,ขอนแก่น,10,5,นาย,คุ้มพงษ์,ภูมิภูเขียว,รวมพลังประชาชาติไทย
1818,ขอนแก่น,10,6,นางสาว,ธนาภา,ผายพิมพ์,ชาติไทยพัฒนา
1819,ขอนแก่น,10,7,นาย,เปรมศักดิ์,เพียยุระ,พลังท้องถิ่นไท
1820,ขอนแก่น,10,8,นางสาว,สุรภา,ปลัดพรมมา,พลังไทยรักไทย
1821,ขอนแก่น,10,9,นาย,นพรุจ,เอ่นลุน,รวมใจไทย
1822,ขอนแก่น,10,10,นาย,ทองอินทร์,ร่วมแก้ว,พลังธรรมใหม่
1823,ขอนแก่น,10,11,นาย,ธนดร,จันทร์โสม,ประชานิยม
1824,ขอนแก่น,10,12,นาย,ชนัญชัย,ศิริมงคล,รักษ์ผืนป่าประเทศไทย
1825,ขอนแก่น,10,13,นาย,โพธิ์คํา,ป้องปาน,ประชาภิวัฒน์
1826,ขอนแก่น,10,14,นางสาว,กัลยารัตน์,กิตติกัลยานันท์,อนาคตใหม่
1827,ขอนแก่น,10,15,นาย,วีระ,พลรักษา,ประชาธิปัตย์
1828,ขอนแก่น,10,16,นาย,องอาจ,ฉัตรชัยพลรัตน์,ภูมิใจไทย
1829,ขอนแก่น,10,17,นาย,คงกฤษฎิ์,บางปา,เสรีรวมไทย
1830,ขอนแก่น,10,18,นาย,ยุทธศาสตร์,พหลทัพ,ชาติพัฒนา
1831,ขอนแก่น,10,19,นาง,ปราณี,พงศ์ศิริวัฒนกุล,ประชาธิปไตยใหม่
1832,ขอนแก่น,10,20,นาย,วีระ,ครองผล,เพื่อแผ่นดิน
1833,ขอนแก่น,10,21,นาย,ชัยธัช,โทแก้ว,เพื่อไทยพัฒนา
1834,ขอนแก่น,10,22,นาย,อาทิตย์,คําจุลลา,พลเมืองไทย
1835,ขอนแก่น,10,23,นาย,สมศักดิ์,เนาว์แก้ว,ประชาชนปฏิรูป
1836,ขอนแก่น,10,24,นาย,เดชคํารณ,สิงคลีบุตร,เพื่อชาติ
1837,ขอนแก่น,10,25,นาย,อรรถพล,ศรีคําม่วม,แผ่นดินธรรม
1838,ขอนแก่น,10,26,นาย,แสวง,ชาแก้ว,ประชาชาติ
1839,ขอนแก่น,10,27,นาง,จําเนียร,ทินราช,พลังปวงชนไทย
1840,ขอนแก่น,10,28,นาย,นรเศรษฐ์,ศรีบุญเรือง,ประชากรไทย
1841,ขอนแก่น,10,29,ร้อยเอก,คณิต,ศิริธรรมจักร,พลังชาติไทย
1842,ขอนแก่น,10,30,นางสาว,นิตยา,อานจําปา,ไทยศรีวิไลย์
1843,ขอนแก่น,10,31,นาย,อิทธส์ุรพงษ์,ภูมิศักดิ์,ประชาธรรมไทย
1844,ขอนแก่น,10,32,นาย,ปีติชา,ทุมเทียง,ครูไทยเพื่อประชาชน
1845,ขอนแก่น,10,33,นาย,ฉลอง,ทองใบ,พลังไทสร้างชาติ
1846,ขอนแก่น,10,34,นาย,สุจิตร์,เถาหมอ,พลังครูไทย
1847,ขอนแก่น,10,35,นาย,ณฐกล,ดวงพิมพ์,พลังรัก
1848,ขอนแก่น,10,36,ร้อยตํารวจตรี,ประยุกต์,พุฒพันธุ์,ประชาธิปไตยเพื่อประชาชน
1849,ขอนแก่น,10,37,นาง,วิไล,ประเสริฐแก้ว,ฐานรากไทย
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1850,ขอนแก่น,10,38,นาย,วิชิต,เศษมา,เครือข่ายชาวนาแห่งประเทศไทย
1851,ขอนแก่น,10,39,นาย,ธเนตร,บุญจวง,ภาคีเครือข่ายไทย
1852,ขอนแก่น,10,40,นาง,นพวรรณ,เพชรสุริวงษ์,ไทยรักษาชาติ
1853,ขอนแก่น,10,41,นาย,ธีรพัฒน์,อุทธกรี,มหาชน
1854,ขอนแก่น,10,42,นาย,พงศ์พัศ,ศรีอุ่น,แทนคุณแผ่นดิน
1855,ขอนแก่น,10,43,นาย,จักรกฤษณ์,ทรงสุวรรณ,ไทรักธรรม
1856,ขอนแก่น,10,44,นางสาว,ณภัทร,คุ้มชินโชติ,พลังประชาธิปไตย
1857,จันทบุรี,1,1,นาย,มงคล,ศรีคําแหง,ภูมิใจไทย
1858,จันทบุรี,1,2,นาย,จิรชัย,เขาหนองบัว,ไทยรักษาชาติ
1859,จันทบุรี,1,3,พันตํารวจโท,ศาสตราวัต,สกุลนาธรรม,เพื่อชาติ
1860,จันทบุรี,1,4,นาย,ปิติพัฒน์,โรจน์ธนารันต์,ประชาภิวัฒน์
1861,จันทบุรี,1,5,นาย,อัศจรรย์,อานามวงษ์,พลังท้องถิ่นไท
1862,จันทบุรี,1,6,พันตํารวจโท,สําเร็จ,ใจสุทธิ,เสรีรวมไทย
1863,จันทบุรี,1,7,นางสาว,บุศรา,ไชยรัตน์ติเวช,ประชาธรรมไทย
1864,จันทบุรี,1,8,นาย,ไพโรจน์,ลิมป์ธนวงศ์,รวมพลังประชาชาติไทย
1865,จันทบุรี,1,9,นางสาว,ปวีณา,จริยฐิติพงศ์,ประชาธิปัตย์
1866,จันทบุรี,1,10,นาย,สันติ,พลอยล้อมเพชร,พลเมืองไทย
1867,จันทบุรี,1,11,นาย,สุเทพ,ปวเรศวิทยาฬาร,รักษ์ผืนป่าประเทศไทย
1868,จันทบุรี,1,12,พันตํารวจโท,ฐนภัทร,กิตติวงศา,อนาคตใหม่
1869,จันทบุรี,1,13,นาย,สมปอง,โสมภีร์,ชาติไทยพัฒนา
1870,จันทบุรี,1,14,นาย,รุ่ง,มนต์ประสิทธิ์,ครูไทยเพื่อประชาชน
1871,จันทบุรี,1,15,นาย,ธวัชชัย,อนามพงษ์,พลังประชารัฐ
1872,จันทบุรี,1,16,พันตํารวจเอก,สมคิด,พละเดช,ประชาธิปไตยใหม่
1873,จันทบุรี,1,17,นาย,มาโนช,ตรงชื่น,ไทยศรีวิไลย์
1874,จันทบุรี,1,18,นาย,สุปัญญา,เถลิงพงษ์,ประชานิยม
1875,จันทบุรี,1,19,นาย,เอกพิพัฒน์,ศรีประสงค์,เศรษฐกิจใหม่
1876,จันทบุรี,1,20,นาย,สมชาย,ฉากเขียน,พลังไทยดี
1877,จันทบุรี,1,21,นาย,สันทัด,สร้อยศรี,รวมใจไทย
1878,จันทบุรี,1,22,นาง,สุภัค,คํามี,ประชาชนปฏิรูป
1879,จันทบุรี,1,23,นาย,สิทธิชัย,สุวดิษฐ์,กรีน
1880,จันทบุรี,1,24,นาย,สมศร,ผดุงพรรค,เครือข่ายชาวนาแห่งประเทศไทย
1881,จันทบุรี,1,25,นาย,สงคราม,กุศลส่ง,ชาติพันธุ์ไทย
1882,จันทบุรี,1,26,นาย,อุดม,อ่องสิทธิ์,ไทรักธรรม
1883,จันทบุรี,1,27,นาย,กฤตพัฒน์,สุขภาคกิจ,พลังชาติไทย
1884,จันทบุรี,2,1,นาย,ยุคล,ชนะวัฒน์ปัญญา,พลังประชารัฐ
1885,จันทบุรี,2,2,นาย,มานะ,ชนะสิทธิ์,ไทยรักษาชาติ
1886,จันทบุรี,2,3,นาย,จารึก,ศรีอ่อน,อนาคตใหม่
1887,จันทบุรี,2,4,นาย,อ๊อด,ไกรนิวรณ์,ประชาธรรมไทย
1888,จันทบุรี,2,5,นาย,สุชาติ,บุญสิทธิ์,ประชาธิปไตยใหม่
1889,จันทบุรี,2,6,นางสาว,มัชฌิมา,สารเจริญ,รักษ์ผืนป่าประเทศไทย
1890,จันทบุรี,2,7,นาย,สรรเพ็ชร,พัฒนสิงห์,รวมพลังประชาชาติไทย
1891,จันทบุรี,2,8,นาย,สุพรชัย,สายพานิช,พลังท้องถิ่นไท
1892,จันทบุรี,2,9,นาย,นเรนทร์ฤทธิ์,แสนหาญ,ประชาภิวัฒน์
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1893,จันทบุรี,2,10,นาย,ธนกร,โฉมเฉลา,เสรีรวมไทย
1894,จันทบุรี,2,11,นาย,มนตรี,พงษ์เจริญ,ภูมิใจไทย
1895,จันทบุรี,2,12,เรือตรี,เสกสรรค์,ทองศรี,ไทยศรีวิไลย์
1896,จันทบุรี,2,13,นาย,บุญภูวนาถ,เจ๊ะหมวก,ฐานรากไทย
1897,จันทบุรี,2,14,นาย,โรจนะ,สวัสดี,ประชาชนปฏิรูป
1898,จันทบุรี,2,15,นาย,สัมพันธ์,จันทร์ดํา,ชาติไทยพัฒนา
1899,จันทบุรี,2,16,นาย,ชาติชาย,วรพิพัฒน์,ประชาธิปัตย์
1900,จันทบุรี,2,17,นาย,มารุต,พิสุทธิพันธ์พงศ์,เพื่อชาติ
1901,จันทบุรี,2,18,นาย,ชูศักดิ์,ศรีสมบูรณ์,ครูไทยเพื่อประชาชน
1902,จันทบุรี,2,19,นาย,ประพันธ์,ประจงจัด,ประชานิยม
1903,จันทบุรี,2,20,นาย,จักราวธุ,สีหาพงษ์,เศรษฐกิจใหม่
1904,จันทบุรี,2,21,นาย,ภูมิมินทร์,อินทร์สุข,พลังชาติไทย
1905,จันทบุรี,2,22,นาย,ประพันธ์,บุญมี,ทางเลือกใหม่
1906,จันทบุรี,2,23,นางสาว,สุภัทริดา,อินทร์อ่ํา,พลังไทยดี
1907,จันทบุรี,2,24,นาย,วิษณุ,พันธุสิงห์,กรีน
1908,จันทบุรี,2,25,นาย,สุรศักดิ์,ศิริชาตรี,เครือข่ายชาวนาแห่งประเทศไทย
1909,จันทบุรี,2,26,นาย,เฉิน,ผันผาย,ชาติพันธุ์ไทย
1910,จันทบุรี,2,27,นางสาว,อิสราภรณ์,เจริญทรัพย์,ไทรักธรรม
1911,จันทบุรี,3,1,นางสาว,เพียงตะวัน,ชิ้นประยูรณ์,ประชานิยม
1912,จันทบุรี,3,2,นาย,กฤษณพันธุ์,พันธศรีนิธิศ,ประชาธรรมไทย
1913,จันทบุรี,3,3,พันตํารวจตรี,ประสิทธิ์,บุญเจริญ,เพื่อชาติ
1914,จันทบุรี,3,4,นาย,ประพันธ์,จึงสกุลวัฒนา,ภูมิใจไทย
1915,จันทบุรี,3,5,นาย,ชัยพร,วรลี,ประชาภิวัฒน์
1916,จันทบุรี,3,6,นาย,สมหมาย,สรรพคุณ,รักษ์ผืนป่าประเทศไทย
1917,จันทบุรี,3,7,นางสาว,ญาณธิชา,บัวเผื่อน,อนาคตใหม่
1918,จันทบุรี,3,8,นาย,อิศวะ,เทียนหลง,พลังท้องถิ่นไท
1919,จันทบุรี,3,9,นาย,เกรียงเดช,เข็มทอง,ไทยรักษาชาติ
1920,จันทบุรี,3,10,นาย,ชรัตน์,เนรัญชร,ประชาธิปัตย์
1921,จันทบุรี,3,11,นาย,แสนคม,อนามพงษ์,พลังประชารัฐ
1922,จันทบุรี,3,12,นาย,วชิรวิชญ์,จันทร์เขียว,เสรีรวมไทย
1923,จันทบุรี,3,13,นาย,สมชาย,คีรีธาร,รวมพลังประชาชาติไทย
1924,จันทบุรี,3,14,พันตํารวจโท,ประจักษ์,ปัตตะ,ประชาธิปไตยใหม่
1925,จันทบุรี,3,15,นาย,วัลลภ,นุชวงษ์,ไทยศรีวิไลย์
1926,จันทบุรี,3,16,นาย,สุชีพ,ทองสร้าง,ชาติไทยพัฒนา
1927,จันทบุรี,3,17,นาย,ปราโมทย์,หยกจินดา,ครูไทยเพื่อประชาชน
1928,จันทบุรี,3,18,นาย,สมยศ,มาเพิ่มผล,ทางเลือกใหม่
1929,จันทบุรี,3,19,นางสาว,สุมนา,แสงทอง,พลังไทยดี
1930,จันทบุรี,3,20,นางสาว,จิราพร,นาโถจํารัส,กรีน
1931,จันทบุรี,3,21,นาย,แตงไทย,สระกองทอง,เพื่อแผ่นดิน
1932,จันทบุรี,3,22,นาย,วิเชียร,โชติสําราญ,เครือข่ายชาวนาแห่งประเทศไทย
1933,จันทบุรี,3,23,นาย,ประสิทธิ์,นวลสําลี,ภาคีเครือข่ายไทย
1934,จันทบุรี,3,24,นาย,กชอาภา,ทรงธรรม,ฐานรากไทย
1935,จันทบุรี,3,25,พันตํารวจโท,ประสิทธิ์,ชัยวงศ์,พลังชาติไทย
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1936,จันทบุรี,3,26,นาย,บุญฤทธิ์,คนชม,พลังประชาธิปไตย
1937,จันทบุรี,3,27,นางสาว,ธนิดา,พรมอ่อน,ประชาชนปฏิรูป
1938,จันทบุรี,3,28,นางสาว,เบญจมาศ,กลั่นกสิกรณ์,เศรษฐกิจใหม่
1939,จันทบุรี,3,29,นาย,นพธนชัย,วสุชัยพิโรดม,ไทรักธรรม
1940,ฉะเชิงเทรา,1,1,นาย,อุมัธ,หวังสาสุข,เพื่อนไทย
1941,ฉะเชิงเทรา,1,2,นาง,ฐิติมา,ฉายแสง,ไทยรักษาชาติ
1942,ฉะเชิงเทรา,1,3,พันตํารวจโท,ชอบ,เขียวจันทร์,เสรีรวมไทย
1943,ฉะเชิงเทรา,1,4,นาย,ณภัทร,ผดุงเจริญโชติ,รักษ์ผืนป่าประเทศไทย
1944,ฉะเชิงเทรา,1,5,นาย,ธนนท์,พรอินทร์,ประชาภิวัฒน์
1945,ฉะเชิงเทรา,1,6,นาย,วัชระ,ปิ่นเจริญ,ประชาธิปัตย์
1946,ฉะเชิงเทรา,1,7,นาย,ณัชพล,ตันเจริญ,ภูมิใจไทย
1947,ฉะเชิงเทรา,1,8,นาย,ชัยวัฒน์,ศรีคชา,พลังท้องถิ่นไท
1948,ฉะเชิงเทรา,1,9,นาย,บุญเลิศ,ไพรินทร์,พลังประชารัฐ
1949,ฉะเชิงเทรา,1,10,นาย,กิตติชัย,เรืองสวัสดิ์,อนาคตใหม่
1950,ฉะเชิงเทรา,1,11,นาย,วินัย,ส้มทับทัย,ประชาชนปฏิรูป
1951,ฉะเชิงเทรา,1,12,นาย,อนันต์,บุญสวน,ประชาธิปไตยใหม่
1952,ฉะเชิงเทรา,1,13,นาย,นุสินธุ์,รุ่งเดช,ประชานิยม
1953,ฉะเชิงเทรา,1,14,นาย,ลาเร่,อยู่เป็นสุข,สังคมประชาธิปไตยไทย
1954,ฉะเชิงเทรา,1,15,นาย,ธวัช,อู่วิเชียร,รวมพลังประชาชาติไทย
1955,ฉะเชิงเทรา,1,16,นาย,จรัญ,สมนาค,เครือข่ายชาวนาแห่งประเทศไทย
1956,ฉะเชิงเทรา,1,17,นาย,สิทธิชัย,เอื้อเฟื้อ,มหาชน
1957,ฉะเชิงเทรา,1,18,นาย,สุเมธ,ตนะวรรณสมบัติ,พลังชาติไทย
1958,ฉะเชิงเทรา,1,19,นางสาว,พรพรรณ,วงษ์นิ่ม,เศรษฐกิจใหม่
1959,ฉะเชิงเทรา,1,20,นาง,อ้อย,มูและ,แทนคุณแผ่นดิน
1960,ฉะเชิงเทรา,1,21,นาย,นิทัศน์,ศรีอุราม,ไทรักธรรม
1961,ฉะเชิงเทรา,2,1,นาย,อมรชัย,ปิ่นเจริญ,ประชาธิปัตย์
1962,ฉะเชิงเทรา,2,2,นาย,ทํานอง,เข็มมลทา,ประชาภิวัฒน์
1963,ฉะเชิงเทรา,2,3,นาย,ศิริพงษ์,นวพาณิชย์,อนาคตใหม่
1964,ฉะเชิงเทรา,2,4,นาย,ชัยวัฒน์,เป้าเปี่ยมทรัพย์,พลังประชารัฐ
1965,ฉะเชิงเทรา,2,5,นาย,เปี่ยมโกมล,โสภณคุณพินิจ,ไทยรักษาชาติ
1966,ฉะเชิงเทรา,2,6,นาย,ธราพงษ์,จั่นแก้ว,ภูมิใจไทย
1967,ฉะเชิงเทรา,2,7,นาย,ธาเอก,อัศววิภาส,ชาติไทยพัฒนา
1968,ฉะเชิงเทรา,2,8,นางสาว,สุปรานี,ทั่วทิพย์,เสรีรวมไทย
1969,ฉะเชิงเทรา,2,9,นาย,สุขสรรค์,พรหมสุวรรณ,รักษ์ผืนป่าประเทศไทย
1970,ฉะเชิงเทรา,2,10,นาย,สมชยั,อัศวชัยโสภณ,เพื่อไทย
1971,ฉะเชิงเทรา,2,11,นาย,อุหมัด,ปาทาน,เพื่อนไทย
1972,ฉะเชิงเทรา,2,12,นาย,กันตภณ,อยู่เป็นสุข,รวมพลังประชาชาติไทย
1973,ฉะเชิงเทรา,2,13,ร.ต.,ชาติชาย,เกียรติแก้วคํา,พลังประชาธิปไตย
1974,ฉะเชิงเทรา,2,14,นาย,สําราญ,นพศิริ,ประชาชนปฏิรูป
1975,ฉะเชิงเทรา,2,15,นาย,นิกร,แซ่โอ่ว,ประชานิยม
1976,ฉะเชิงเทรา,2,16,นาย,เชาวลิต,คงแสงชัย,พลเมืองไทย
1977,ฉะเชิงเทรา,2,17,นาย,ณัฐธพัฒน์,ธรรมทินนา,พลังปวงชนไทย
1978,ฉะเชิงเทรา,2,18,นาย,ประเสริฐ,บินยูซ๊บ,กรีน
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
1979,ฉะเชิงเทรา,2,19,นาย,ชนะชัย,โนรีวงศ์,พลังไทยดี
1980,ฉะเชิงเทรา,2,20,นาย,ประสิทธิ์,ประสพสุข,สังคมประชาธิปไตยไทย
1981,ฉะเชิงเทรา,2,21,นาย,ศักดา,ฉั่วยั่งยืน,พลังท้องถิ่นไท
1982,ฉะเชิงเทรา,2,22,นาย,สุระเด่น,สุวรรณะ,พลังชาติไทย
1983,ฉะเชิงเทรา,2,23,นาย,มาลีกี,มั่นคง,เครือข่ายชาวนาแห่งประเทศไทย
1984,ฉะเชิงเทรา,2,24,นาย,ณรงค์,เพิ่มพูล,ไทยธรรม
1985,ฉะเชิงเทรา,2,25,นาย,สุรชัย,ดํารงสุสกุล,เศรษฐกิจใหม่
1986,ฉะเชิงเทรา,2,26,นางสาว,พเยาว์,เจือจันทร์,มหาชน
1987,ฉะเชิงเทรา,2,27,นาย,สรพงษ์,อิ่มอารมณ์,เพื่อชาติ
1988,ฉะเชิงเทรา,2,28,นางสาว,สุปรียา,กลิ่นมาลัย,แทนคุณแผ่นดิน
1989,ฉะเชิงเทรา,3,1,นาย,พิเชษฐ,สุขทรัพย์อนันต์,รักษ์ผืนป่าประเทศไทย
1990,ฉะเชิงเทรา,3,2,นาย,ณพงศธร,แก้วคํา,เสรีรวมไทย
1991,ฉะเชิงเทรา,3,3,นาย,สุนทร,โยสิงห์ธนังกูล,อนาคตใหม่
1992,ฉะเชิงเทรา,3,4,นาย,ประโยชน์,อินทสุวรรณ์,ประชาภิวัฒน์
1993,ฉะเชิงเทรา,3,5,นาย,สุชาติ,ตันเจริญ,พลังประชารัฐ
1994,ฉะเชิงเทรา,3,6,นาย,สายัณห์,นิราช,เพื่อไทย
1995,ฉะเชิงเทรา,3,7,นาย,ภิญโญ,เนียมสงค์,ทางเลือกใหม่
1996,ฉะเชิงเทรา,3,8,นาย,อดุลย์,แสงจันทร์,ไทยรักษาชาติ
1997,ฉะเชิงเทรา,3,9,นาย,ฐิติภูมิ,นันทา,พลังท้องถิ่นไท
1998,ฉะเชิงเทรา,3,10,นาย,ฉัตรชัย,เข็มทอง,ประชาธิปัตย์
1999,ฉะเชิงเทรา,3,11,นางสาว,ศักศรี,รดพิรุณ,ประชาชนปฏิรูป
2000,ฉะเชิงเทรา,3,12,นาย,รส,มะลิผล,ภูมิใจไทย
2001,ฉะเชิงเทรา,3,13,นาย,อนุรักษ์,บัวแก้ว,ประชาธิปไตยใหม่
