ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
64,กระบี่,2,31,นางสาว,ณัฐธิชา,คงโส,พลังไทสร้างชาติ
65,กระบี่,2,32,นาย,ประสาร,ชาญน้ํา,ประชาธรรมไทย
66,กระบี่,2,33,นาง,สุวดี,เพ็ชรแขก,พลังศรัทธา
67,กระบี่,2,34,นางสาว,ศิรินันท์,สระสม,ไทรักธรรม
68,กรุงเทพมหานคร,1,1,นางสาว,ณัฐปภัสร์,วรธันย์ผาสุข,ไทยศรีวิไลย์
69,กรุงเทพมหานคร,1,2,นาย,ธเนษฐ,เศรษฐาวาณิช,พลังท้องถิ่นไท
70,กรุงเทพมหานคร,1,3,นาง,เจิมมาศ,จึงเลิศศิริ,ประชาธิปัตย์
71,กรุงเทพมหานคร,1,4,นาย,กรีณรงค์,ชาตรี,ชาติไทยพัฒนา
72,กรุงเทพมหานคร,1,5,นาง,ดรัณภัทร,วิชชาวุธ,ประชาชนปฏิรูป
73,กรุงเทพมหานคร,1,6,นาย,รวิโชติ,ธํารงนาวาสวัสดิ์,ประชาชาติ
74,กรุงเทพมหานคร,1,7,นาย,เตช,เตชะพัฒน์สิริ,รวมพลังประชาชาติไทย
75,กรุงเทพมหานคร,1,8,นาย,อนุสรณ์,เกษมวรรณ,ชาติพัฒนา
76,กรุงเทพมหานคร,1,9,นางสาว,ลีลาวดี,วัชโรบล,เพื่อไทย
77,กรุงเทพมหานคร,1,10,นาย,ณัฏฐ์พงษ์,ยงใจยุทธ,เพื่อชาติ
78,กรุงเทพมหานคร,1,11,นางสาว,นพมาศ,การุญ,อนาคตใหม่
79,กรุงเทพมหานคร,1,12,นาย,กอบชัย,ชยามฤต,รักษ์ผืนป่าประเทศไทย
80,กรุงเทพมหานคร,1,13,นาย,ทวีพร,อนุตรพงษ์สกุล,ภูมิใจไทย
81,กรุงเทพมหานคร,1,14,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,พลังประชารัฐ
82,กรุงเทพมหานคร,1,15,นาย,ธนชาต,เมฆวันวรา,ประชาภิวัฒน์
83,กรุงเทพมหานคร,1,16,นาย,วิเชียร,โมไนยกุล,เพื่อแผ่นดิน
84,กรุงเทพมหานคร,1,17,ร้อยเอก,วัชราภรณ์,สังวรโยธิน,เสรีรวมไทย
85,กรุงเทพมหานคร,1,18,นางสาว,วิสุดา,จงสกุลชัย,ประชานิยม
86,กรุงเทพมหานคร,1,19,นาย,เรียบ,ประทุมฝาง,ถิ่นกาขาวชาววิไล
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
87,กรุงเทพมหานคร,1,20,นาย,ณัฐพล,หวังชูเชิดกุล,ภราดรภาพ
88,กรุงเทพมหานคร,1,21,นาย,มงคล,เสมอภาพ,เศรษฐกิจใหม่
89,กรุงเทพมหานคร,1,22,นาง,วัลลี,แอสุวรรณ์,มติประชา
90,กรุงเทพมหานคร,1,23,จ่าเอก,พิพัฒน์,วงษ์ฤทธิ์,แผ่นดินธรรม
91,กรุงเทพมหานคร,1,24,นาย,หฤษฎ์,หนูเอี่ยม,พลังชาติไทย
92,กรุงเทพมหานคร,1,25,นาย,พงศ์ชิษณุ,พีรดาจิราวัฒน์,ครูไทยเพื่อประชาชน
93,กรุงเทพมหานคร,1,26,นางสาว,พัทธ์ฐิชา,ณิชยรวีพัชร์,มหาชน
94,กรุงเทพมหานคร,1,27,นางสาว,กันญภัทร,นครังสุ,พลังศรัทธา
95,กรุงเทพมหานคร,1,28,นางสาว,หนึ่งฤทัย,หัสดิน,ประชาธรรมไทย
96,กรุงเทพมหานคร,1,29,นาง,อรุณรัตน์,ศิลปธรรมธาดา,ภาคีเครือข่ายไทย
97,กรุงเทพมหานคร,1,30,นาย,ภฤศ,วัฒนธาดากุล,ไทรักธรรม
98,กรุงเทพมหานคร,2,1,นาย,ณัฏฐพัชร์,กวินกนกกัลป์,รวมพลังประชาชาติไทย
99,กรุงเทพมหานคร,2,2,นางสาว,พัชรินทร์,ซําศิริพงษ์,พลังประชารัฐ
100,กรุงเทพมหานคร,2,3,นางสาว,อุไร,อนันตสิน,ภูมิใจไทย
101,กรุงเทพมหานคร,2,4,นางสาว,อรอนงค์,กาญจนชูศักดิ์,ประชาธิปัตย์
102,กรุงเทพมหานคร,2,5,นางสาว,พัสวี,ภัทรพุทธากร,อนาคตใหม่
103,กรุงเทพมหานคร,2,6,นาง,ชัญญา,บุญเกิด,เสรีรวมไทย
104,กรุงเทพมหานคร,2,7,นางสาว,ภัทรกันย์,กิจวิชา,เพื่อชาติ
105,กรุงเทพมหานคร,2,8,นาง,พิมพาภรณ์,พานทอง,ประชาชาติ
106,กรุงเทพมหานคร,2,9,นาย,นพรุจ,วรชิตวุฒิกุล,พลังประชาธิปไตย
107,กรุงเทพมหานคร,2,10,หม่อมหลวง,ณัฏฐพล,เทวกุล,ไทยรักษาชาติ
108,กรุงเทพมหานคร,2,11,นางสาว,ศิรภัสสร,พิเนตร,ชาติไทยพัฒนา
109,กรุงเทพมหานคร,2,12,นางสาว,นิธินันท์,นิธิวชิระพงศ์,ประชาชนปฏิรูป
110,กรุงเทพมหานคร,2,13,นางสาว,ปุณฐ์นัฐย์ดา,อิสริยาพร,ชาติพัฒนา
111,กรุงเทพมหานคร,2,14,นาย,พัชรวีร์,พรหมวงศ์,เพื่อแผ่นดิน
112,กรุงเทพมหานคร,2,15,นาย,ธีระ,ธรรมลักขณา,ประชาภิวัฒน์
113,กรุงเทพมหานคร,2,16,นาย,รชต,ตันตระกูล,ถิ่นกาขาวชาววิไล
114,กรุงเทพมหานคร,2,17,นาย,ธนบุรี,วสุธาวาณิช,ภราดรภาพ
115,กรุงเทพมหานคร,2,18,นางสาว,สิริมา,ธารีจารุ,รักษ์ผืนป่าประเทศไทย
116,กรุงเทพมหานคร,2,19,นาย,ชัยวัฒน์,ชื่นสุขสันต์,เศรษฐกิจใหม่
117,กรุงเทพมหานคร,2,20,นาย,สุรวัชร์,ทองรอด,ครูไทยเพื่อประชาชน
118,กรุงเทพมหานคร,2,21,นาย,เทียนชัย,วงศ์นวภรณ์,แผ่นดินธรรม
119,กรุงเทพมหานคร,2,22,นาย,ภควุฒิ,งามพัฒนพงศ์ชัย,มติประชา
120,กรุงเทพมหานคร,2,23,นาย,ภูริต,มนูปรัญญานนท์,พลังชาติไทย
121,กรุงเทพมหานคร,2,24,นาย,เมธานนท์,สุรเมธีกุล,ประชานิยม
122,กรุงเทพมหานคร,2,25,พันตรี,อํานาจ,ศิลปาจารย์,พลังสังคม
123,กรุงเทพมหานคร,2,26,นาย,อัศจรรย์,เขมกานนท์,กลาง
124,กรุงเทพมหานคร,2,27,นาย,ธงชัย,ทองอยู่เลิศ,ภาคีเครือข่ายไทย
125,กรุงเทพมหานคร,2,28,นาย,วิทยา,อิบรอฮีม,ประชาธรรมไทย
126,กรุงเทพมหานคร,2,29,นาย,ศิวกร,ซิมมณี,มหาชน
127,กรุงเทพมหานคร,2,30,นางสาว,ภัทร์นฤน,วงศ์กาศ,สามัญชน
128,กรุงเทพมหานคร,2,31,นางสาว,เพ็ญลดา,ครุธโกษา,พลังท้องถิ่นไท
129,กรุงเทพมหานคร,3,1,นาย,พงษ์พิสุทธิ์,จินตโสภณ,ไทยรักษาชาติ
,,,,,,,
ลําดับที่,จังหวัด,เขต,เลขที่,คํานําหน้า,ชื่อผ้สมัคร,นามสกลผ้สมัคร,ชื่อพรรคการเมือง
130,กรุงเทพมหานคร,3,2,นาย,สกนธ์,กัปปิยจรรยา,ประชาภิวัฒน์
131,กรุงเทพมหานคร,3,3,นาย,เนวินธุ์,ช่อชัยทิพฐ์,พลังประชารัฐ
132,กรุงเทพมหานคร,3,4,นางสาว,ปณตพร,โอฬารฤทธินันท์,ประชาชนปฏิรูป
133,กรุงเทพมหานคร,3,5,นาย,จุมพล,จันทร์จิระ,รวมพลังประชาชาติไทย
134,กรุงเทพมหานคร,3,6,นางสาว,ธิมล,ไตรรัตน์วิโรจน์,พลังท้องถิ่นไท
135,กรุงเทพมหานคร,3,7,นาง,นงลักษณ์,ติรกาญจนา,พลังธรรมใหม่
136,กรุงเทพมหานคร,3,8,นางสาว,วิลนันต์,จันธนนิโรจน์,ประชาชาติ
137,กรุงเทพมหานคร,3,9,นาย,ศิระรังษี,ปารมีอิทธิวงษ์,ชาติไทยพัฒนา
138,กรุงเทพมหานคร,3,10,นาย,สันติ,วิชัยพล,เพื่อชาติ
139,กรุงเทพมหานคร,3,11,นาย,ไสว,ทัศนีย์ภาพ,เสรีรวมไทย
